Time,Boat,Trip,Lat,Lng,Speed (M/S),Range (Meters),Heading,Boat Name,Community
2018-04-05 05:17:15,2787,301429,-3.42783,10.65678,0.38,,193.55,Pelagic 402813 1,
2018-04-05 05:18:12,2785,301464,-3.41202,10.63801,6.69,,191.7,Pelagic 397542,
2018-04-05 05:18:57,2787,301429,-3.42105,10.66004,10.33,,19.62,Pelagic 402813 1,
2018-04-05 05:19:52,2785,301464,-3.4189,10.63452,8.47,,203.16,Pelagic 397542,
2018-04-05 05:20:43,2787,301429,-3.41227,10.66263,9.79,,11.45,Pelagic 402813 1,
2018-04-05 05:21:34,2785,301464,-3.42407,10.63034,0.99,,270,Pelagic 397542,
2018-04-05 05:22:29,2787,301429,-3.40319,10.66408,10.65,,15.1,Pelagic 402813 1,
2018-04-05 05:23:24,2785,301464,-3.42706,10.62253,11.02,,273.16,Pelagic 397542,
2018-04-05 05:24:13,2787,301429,-3.3942,10.6657,10.19,,10.98,Pelagic 402813 1,
2018-04-05 05:25:18,2785,301464,-3.42693,10.62027,0.34,,319.45,Pelagic 397542,
2018-04-05 05:25:58,2787,301429,-3.38513,10.66624,10.48,,353.92,Pelagic 402813 1,
2018-04-05 05:27:07,2785,301464,-3.42729,10.62027,0.96,,215.49,Pelagic 397542,
2018-04-05 05:27:16,2788,,-3.40559,10.66026,0.01,,333.48,Pelagic 392865 1,
2018-04-05 05:27:38,2787,301429,-3.38224,10.65941,9.93,,243.39,Pelagic 402813 1,
2018-04-05 05:29:04,2785,301464,-3.42741,10.62016,0.09,,161.6,Pelagic 397542,
2018-04-05 05:29:25,2787,301429,-3.39005,10.65488,6.52,,198.75,Pelagic 402813 1,
2018-04-05 05:31:06,2787,301429,-3.39857,10.65146,10.02,,199.41,Pelagic 402813 1,
2018-04-05 05:31:07,2785,301464,-3.42746,10.62013,0.09,,270,Pelagic 397542,
2018-04-05 05:32:53,2787,301429,-3.40655,10.64833,4.67,,232.47,Pelagic 402813 1,
2018-04-05 05:33:34,2785,301464,-3.42741,10.61991,0.2,,292.66,Pelagic 397542,
2018-04-05 05:34:33,2787,301429,-3.41582,10.64525,9.5,,200.52,Pelagic 402813 1,
2018-04-05 05:35:58,2785,301464,-3.42721,10.61972,0.25,,303.74,Pelagic 397542,
2018-04-05 05:36:21,2787,301429,-3.42441,10.64152,9.29,,203.46,Pelagic 402813 1,
2018-04-05 05:38:08,2787,301429,-3.43139,10.63861,1.22,,156.08,Pelagic 402813 1,
2018-04-05 05:38:16,2785,301464,-3.42684,10.61968,0.31,,337.66,Pelagic 397542,
2018-04-05 05:38:16,2788,,-3.40566,10.66022,0.01,,306.92,Pelagic 392865 1,
2018-04-05 05:39:52,2787,301429,-3.44078,10.64193,8.69,,141.18,Pelagic 402813 1,
2018-04-05 05:40:36,2785,301464,-3.42656,10.61968,0.12,,0,Pelagic 397542,
2018-04-05 05:41:38,2787,301429,-3.44773,10.64802,14.93,,135.94,Pelagic 402813 1,
2018-04-05 05:42:58,2785,301464,-3.42623,10.61958,0.1,,0,Pelagic 397542,
2018-04-05 05:43:18,2787,301429,-3.45407,10.65386,9.43,,135.05,Pelagic 402813 1,
2018-04-05 05:44:01,2788,,-3.40558,10.66022,0.03,,339.48,Pelagic 392865 1,
2018-04-05 05:45:07,2787,301429,-3.46082,10.66057,10.05,,127.8,Pelagic 402813 1,
2018-04-05 05:45:16,2785,301464,-3.42599,10.6194,0.23,,306.08,Pelagic 397542,
2018-04-05 05:46:49,2787,301429,-3.46607,10.66562,3.52,,270,Pelagic 402813 1,
2018-04-05 05:47:36,2785,301464,-3.42579,10.6194,0.15,,0,Pelagic 397542,
2018-04-05 05:48:34,2787,301429,-3.47323,10.67332,12.94,,124.56,Pelagic 402813 1,
2018-04-05 05:49:58,2785,301464,-3.42567,10.61932,0.47,,308.42,Pelagic 397542,
